Honda Civic VIII,470 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,чёрный,2008,183 000 км
Honda Civic VIII,450 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,чёрный,2007,180 000 км
Honda CR-V I,280 000 ₽,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,1996,411 000 км
Honda Accord VIII,750 000 ₽,2.0 л / 156 л.с. / Бензин,автомат,седан,передний,чёрный,2008,122 000 км
Honda Civic VII,250 000 ₽,1.7 л / 115 л.с. / Бензин,автомат,седан,передний,серебристый,2002,391 000 км
Honda Stream I,300 000 ₽,1.7 л / 130 л.с. / Бензин,автомат,компактвэн,передний,белый,2003,180 000 км
Honda Civic VIII,420 000 ₽,1.8 л / 140 л.с. / Бензин,механика,седан,передний,чёрный,2007,253 000 км
Honda Civic VIII,398 000 ₽,1.8 л / 140 л.с. / Бензин,механика,седан,передний,чёрный,2006,242 000 км
Honda Saber I,190 000 ₽,2.5 л / 190 л.с. / Бензин,автомат,седан,передний,синий,1997,54 000 км
Honda Accord  VII Sport,390 000 ₽,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,красный,2004,225 000 км
Honda Civic VIII,355 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,2006,192 000 км
Honda CR-V II,500 000 ₽,2.0 л / 150 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серебристый,2003,370 000 км
Honda Civic  VIII Type S,450 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 3 дв.,передний,чёрный,2008,145 000 км
Honda Civic VIII,350 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,красный,2008,248 000 км
Honda Vigor III,70 000 ₽,2.5 л / 190 л.с. / Бензин,автомат,седан,передний,пурпурный,1994,304 000 км
Honda Accord IX,1 250 000 ₽,2.4 л / 180 л.с. / Бензин,автомат,седан,передний,белый,2013,163 000 км
Honda Accord IV,90 000 ₽,2.0 л / 133 л.с. / Бензин,автомат,седан,передний,серебристый,1991,270 000 км
Honda Concerto,75 000 ₽,1.5 л / 90 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,синий,1991,195 000 км
Honda CR-V I,250 000 ₽,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,передний,зелёный,1998,237 030 км
Honda Accord VIII,600 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,серый,2008,240 000 км
Honda Orthia I,145 000 ₽,2.0 л / 145 л.с. / Бензин,автомат,универсал 5 дв.,передний,красный,1996,298 984 км
Honda Accord  VII Рестайлинг Sport,495 000 ₽,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,серый,2007,233 000 км
Honda Civic VI,130 000 ₽,1.4 л / 90 л.с. / Бензин,механика,универсал 5 дв.,передний,серебристый,1998,296 000 км
Honda CR-V III,785 000 ₽,2.0 л / 150 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,2008,230 000 км
Honda Shuttle I,200 000 ₽,2.3 л / 150 л.с. / Бензин,автомат,компактвэн,передний,синий,1998,287 000 км
Honda Accord Type-S VIII Type S,650 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,красный,2008,225 000 км
Honda Civic,120 000 ₽,серебристый,,,1989,400 000 км
Honda Civic V,129 000 ₽,1.6 л / 125 л.с. / Бензин,механика,седан,передний,синий,1993,310 000 км
Honda Accord V,110 000 ₽,2.0 л / 115 л.с. / Бензин,механика,седан,передний,синий,1995,243 000 км
Honda HR-V I Рестайлинг,335 000 ₽,1.6 л / 124 л.с. / Бензин,механика,внедорожник 5 дв.,полный,синий,2002,266 000 км
Honda Civic VIII,375 000 ₽,1.8 л / 140 л.с. / Бензин,механика,седан,передний,красный,2008,152 200 км
Honda HR-V I Рестайлинг,330 000 ₽,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,красный,2003,218 000 км
Honda CR-V II,480 000 ₽,2.4 л / 162 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,красный,2003,153 616 км
Honda HR-V I,279 000 ₽,1.6 л / 105 л.с. / Бензин,механика,внедорожник 3 дв.,передний,серебристый,1999,225 000 км
Honda Civic Ferio III,235 000 ₽,1.5 л / 105 л.с. / Бензин,вариатор,седан,передний,золотистый,2002,326 790 км
Honda Accord VIII,650 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,синий,2008,195 000 км
Honda Domani II,230 000 ₽,1.6 л / 120 л.с. / Бензин,автомат,седан,передний,фиолетовый,1997,275 000 км
Honda CR-V I,285 000 ₽,2.0 л / 145 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,1998,162 911 км
Honda Accord VIII,700 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,синий,2008,225 000 км
Honda Civic VI,200 000 ₽,1.5 л / 115 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,зелёный,1998,254 000 км
Honda Accord  VII Рестайлинг Sport,450 000 ₽,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,красный,2007,200 000 км
Honda Shuttle I,250 000 ₽,2.2 л / 150 л.с. / Бензин,автомат,компактвэн,передний,серый,1997,267 000 км
Honda CR-V I,220 000 ₽,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,синий,1997,223 000 км
Honda CR-V II,420 000 ₽,2.0 л / 150 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,2002,280 000 км
Honda Accord VIII,635 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,серый,2008,195 000 км
Honda CR-V II,470 000 ₽,2.4 л / 162 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серебристый,2003,190 000 км
Honda Accord  VII Sport,435 000 ₽,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,серебристый,2005,237 000 км
Honda CR-V II,435 000 ₽,2.4 л / 162 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,зелёный,2002,200 000 км
Honda HR-V I,250 000 ₽,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 3 дв.,передний,белый,1998,320 000 км
Honda Saber II,300 000 ₽,3.2 л / 225 л.с. / Бензин,автомат,седан,передний,чёрный,1998,349 100 км
Honda CR-V I,330 000 ₽,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,1995,300 000 км
Honda Concerto,80 000 ₽,1.6 л / 112 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,серебристый,1992,126 000 км
Honda HR-V I,300 000 ₽,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 5 дв.,полный,серебристый,2000,251 400 км
Honda HR-V I,210 000 ₽,1.6 л / 124 л.с. / Бензин,вариатор,внедорожник 3 дв.,полный,синий,1998,299 000 км
Honda Civic VIII,405 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,2007,160 000 км
Honda HR-V I,170 000 ₽,1.6 л / 124 л.с. / Бензин,вариатор,внедорожник 3 дв.,полный,синий,1998,407 000 км
Honda Civic VIII,530 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,2007,205 000 км
Honda Civic VIII,395 000 ₽,1.8 л / 140 л.с. / Бензин,механика,седан,передний,золотистый,2008,260 000 км
Honda Civic  VIII Hybrid,320 000 ₽,1.3 л / 95 л.с. / Гибрид,вариатор,седан,передний,чёрный,2008,191 926 км
Honda Civic VI,260 000 ₽,1.4 л / 90 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,синий,1998,340 000 км
Honda Civic VIII,380 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,2006,199 000 км
Honda CR-V I,250 000 ₽,2.0 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,синий,1998,380 000 км
Honda CR-V I,245 000 ₽,2.0 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,1997,366 150 км
Honda Shuttle I,195 000 ₽,2.2 л / 150 л.с. / Бензин,автомат,компактвэн,передний,зелёный,1995,280 000 км
Honda Civic VI,180 000 ₽,1.5 л / 90 л.с. / Бензин,механика,седан,передний,чёрный,1997,330 000 км
Honda Concerto,65 000 ₽,1.5 л / 90 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,белый,1988,270 000 км
Honda Accord IV,110 000 ₽,2.2 л / 150 л.с. / Бензин,механика,универсал 5 дв.,передний,синий,1992,394 000 км
Honda Orthia I,220 000 ₽,2.0 л / 145 л.с. / Бензин,автомат,универсал 5 дв.,полный,синий,1996,100 000 км
Honda Civic VIII,440 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,чёрный,2008,237 000 км
Honda Accord VIII,720 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,серебристый,2008,185 000 км
Honda Shuttle I,160 000 ₽,2.2 л / 150 л.с. / Бензин,автомат,компактвэн,передний,серебристый,1998,200 000 км
Honda Civic VIII,340 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,красный,2007,260 000 км
Honda Accord VI,200 000 ₽,1.9 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,1998,316 000 км
Honda Shuttle I,210 000 ₽,2.2 л / 150 л.с. / Бензин,автомат,компактвэн,передний,синий,1996,420 000 км
Honda CR-V III,850 000 ₽,2.4 л / 166 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,коричневый,2008,214 000 км
Honda Accord VII Рестайлинг,430 000 ₽,2.4 л / 190 л.с. / Бензин,автомат,седан,передний,красный,2006,237 321 км
Honda Civic VIII,400 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,золотистый,2007,226 600 км
Honda Accord VIII,590 000 ₽,2.0 л / 156 л.с. / Бензин,автомат,седан,передний,красный,2008,219 000 км
Honda CR-V I,450 000 ₽,2.0 л / 145 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,1997,400 000 км
Honda Accord V,160 000 ₽,2.0 л / 115 л.с. / Бензин,механика,седан,передний,чёрный,1994,416 000 км
Honda Logo,145 000 ₽,1.3 л / 91 л.с. / Бензин,вариатор,хэтчбек 3 дв.,передний,серебристый,1999,270 000 км
Honda Stream I,320 000 ₽,1.7 л / 130 л.с. / Бензин,автомат,компактвэн,передний,серый,2002,250 000 км
Honda Civic VIII,450 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,серый,2007,252 000 км
Honda Avancier I,355 000 ₽,2.3 л / 150 л.с. / Бензин,автомат,универсал 5 дв.,полный,чёрный,1999,300 000 км
Honda CR-V I,265 000 ₽,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,синий,1998,285 000 км
Honda Accord VII,400 000 ₽,2.4 л / 200 л.с. / Бензин,автомат,седан,передний,красный,2004,140 000 км
Honda Civic VIII,500 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,2006,304 000 км
Honda Civic VIII,490 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,синий,2008,160 000 км
Honda Civic VIII,470 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,чёрный,2008,183 000 км
Honda Civic VIII,450 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,чёрный,2007,180 000 км
Honda CR-V I,280 000 ₽,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,1996,411 000 км
Honda Accord VIII,750 000 ₽,2.0 л / 156 л.с. / Бензин,автомат,седан,передний,чёрный,2008,122 000 км
Honda Civic VII,250 000 ₽,1.7 л / 115 л.с. / Бензин,автомат,седан,передний,серебристый,2002,391 000 км
Honda Stream I,300 000 ₽,1.7 л / 130 л.с. / Бензин,автомат,компактвэн,передний,белый,2003,180 000 км
Honda Civic VIII,420 000 ₽,1.8 л / 140 л.с. / Бензин,механика,седан,передний,чёрный,2007,253 000 км
Honda Civic VIII,398 000 ₽,1.8 л / 140 л.с. / Бензин,механика,седан,передний,чёрный,2006,242 000 км
Honda Saber I,190 000 ₽,2.5 л / 190 л.с. / Бензин,автомат,седан,передний,синий,1997,54 000 км
Honda Accord  VII Sport,390 000 ₽,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,красный,2004,225 000 км
Honda Civic VIII,355 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,2006,192 000 км
Honda CR-V II,500 000 ₽,2.0 л / 150 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серебристый,2003,370 000 км
Honda Civic  VIII Type S,450 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 3 дв.,передний,чёрный,2008,145 000 км
Honda Civic VIII,350 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,красный,2008,248 000 км
Honda Vigor III,70 000 ₽,2.5 л / 190 л.с. / Бензин,автомат,седан,передний,пурпурный,1994,304 000 км
Honda Accord IX,1 250 000 ₽,2.4 л / 180 л.с. / Бензин,автомат,седан,передний,белый,2013,163 000 км
Honda Accord IV,90 000 ₽,2.0 л / 133 л.с. / Бензин,автомат,седан,передний,серебристый,1991,270 000 км
Honda Concerto,75 000 ₽,1.5 л / 90 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,синий,1991,195 000 км
Honda CR-V I,250 000 ₽,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,передний,зелёный,1998,237 030 км
Honda Accord VIII,600 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,серый,2008,240 000 км
Honda Orthia I,145 000 ₽,2.0 л / 145 л.с. / Бензин,автомат,универсал 5 дв.,передний,красный,1996,298 984 км
Honda Accord  VII Рестайлинг Sport,495 000 ₽,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,серый,2007,233 000 км
Honda Civic VI,130 000 ₽,1.4 л / 90 л.с. / Бензин,механика,универсал 5 дв.,передний,серебристый,1998,296 000 км
Honda CR-V III,785 000 ₽,2.0 л / 150 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,2008,230 000 км
Honda Shuttle I,200 000 ₽,2.3 л / 150 л.с. / Бензин,автомат,компактвэн,передний,синий,1998,287 000 км
Honda Accord Type-S VIII Type S,650 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,красный,2008,225 000 км
Honda Civic,120 000 ₽,серебристый,,,1989,400 000 км
Honda Civic V,129 000 ₽,1.6 л / 125 л.с. / Бензин,механика,седан,передний,синий,1993,310 000 км
Honda Accord V,110 000 ₽,2.0 л / 115 л.с. / Бензин,механика,седан,передний,синий,1995,243 000 км
Honda HR-V I Рестайлинг,335 000 ₽,1.6 л / 124 л.с. / Бензин,механика,внедорожник 5 дв.,полный,синий,2002,266 000 км
Honda Civic VIII,375 000 ₽,1.8 л / 140 л.с. / Бензин,механика,седан,передний,красный,2008,152 200 км
Honda HR-V I Рестайлинг,330 000 ₽,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,красный,2003,218 000 км
Honda CR-V II,480 000 ₽,2.4 л / 162 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,красный,2003,153 616 км
Honda HR-V I,279 000 ₽,1.6 л / 105 л.с. / Бензин,механика,внедорожник 3 дв.,передний,серебристый,1999,225 000 км
Honda Civic Ferio III,235 000 ₽,1.5 л / 105 л.с. / Бензин,вариатор,седан,передний,золотистый,2002,326 790 км
Honda Accord VIII,650 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,синий,2008,195 000 км
Honda Domani II,230 000 ₽,1.6 л / 120 л.с. / Бензин,автомат,седан,передний,фиолетовый,1997,275 000 км
Honda CR-V I,285 000 ₽,2.0 л / 145 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,1998,162 911 км
Honda Accord VIII,700 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,синий,2008,225 000 км
Honda Civic VI,200 000 ₽,1.5 л / 115 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,зелёный,1998,254 000 км
Honda Accord  VII Рестайлинг Sport,450 000 ₽,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,красный,2007,200 000 км
Honda Shuttle I,250 000 ₽,2.2 л / 150 л.с. / Бензин,автомат,компактвэн,передний,серый,1997,267 000 км
Honda CR-V I,220 000 ₽,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,синий,1997,223 000 км
Honda CR-V II,420 000 ₽,2.0 л / 150 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,2002,280 000 км
Honda Accord VIII,635 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,серый,2008,195 000 км
Honda CR-V II,470 000 ₽,2.4 л / 162 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серебристый,2003,190 000 км
Honda Accord  VII Sport,435 000 ₽,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,серебристый,2005,237 000 км
Honda CR-V II,435 000 ₽,2.4 л / 162 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,зелёный,2002,200 000 км
Honda HR-V I,250 000 ₽,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 3 дв.,передний,белый,1998,320 000 км
Honda Saber II,300 000 ₽,3.2 л / 225 л.с. / Бензин,автомат,седан,передний,чёрный,1998,349 100 км
Honda CR-V I,330 000 ₽,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,1995,300 000 км
Honda Concerto,80 000 ₽,1.6 л / 112 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,серебристый,1992,126 000 км
Honda HR-V I,300 000 ₽,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 5 дв.,полный,серебристый,2000,251 400 км
Honda HR-V I,210 000 ₽,1.6 л / 124 л.с. / Бензин,вариатор,внедорожник 3 дв.,полный,синий,1998,299 000 км
Honda Civic VIII,405 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,2007,160 000 км
Honda HR-V I,170 000 ₽,1.6 л / 124 л.с. / Бензин,вариатор,внедорожник 3 дв.,полный,синий,1998,407 000 км
Honda Civic VIII,530 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,2007,205 000 км
Honda Civic VIII,395 000 ₽,1.8 л / 140 л.с. / Бензин,механика,седан,передний,золотистый,2008,260 000 км
Honda Civic  VIII Hybrid,320 000 ₽,1.3 л / 95 л.с. / Гибрид,вариатор,седан,передний,чёрный,2008,191 926 км
Honda Civic VI,260 000 ₽,1.4 л / 90 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,синий,1998,340 000 км
Honda Civic VIII,380 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,2006,199 000 км
Honda CR-V I,250 000 ₽,2.0 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,синий,1998,380 000 км
Honda CR-V I,245 000 ₽,2.0 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,1997,366 150 км
Honda Shuttle I,195 000 ₽,2.2 л / 150 л.с. / Бензин,автомат,компактвэн,передний,зелёный,1995,280 000 км
Honda Civic VI,180 000 ₽,1.5 л / 90 л.с. / Бензин,механика,седан,передний,чёрный,1997,330 000 км
Honda Concerto,65 000 ₽,1.5 л / 90 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,белый,1988,270 000 км
Honda Accord IV,110 000 ₽,2.2 л / 150 л.с. / Бензин,механика,универсал 5 дв.,передний,синий,1992,394 000 км
Honda Orthia I,220 000 ₽,2.0 л / 145 л.с. / Бензин,автомат,универсал 5 дв.,полный,синий,1996,100 000 км
Honda Civic VIII,440 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,чёрный,2008,237 000 км
Honda Accord VIII,720 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,серебристый,2008,185 000 км
Honda Shuttle I,160 000 ₽,2.2 л / 150 л.с. / Бензин,автомат,компактвэн,передний,серебристый,1998,200 000 км
Honda Civic VIII,340 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,красный,2007,260 000 км
Honda Accord VI,200 000 ₽,1.9 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,1998,316 000 км
Honda Shuttle I,210 000 ₽,2.2 л / 150 л.с. / Бензин,автомат,компактвэн,передний,синий,1996,420 000 км
Honda CR-V III,850 000 ₽,2.4 л / 166 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,коричневый,2008,214 000 км
Honda Accord VII Рестайлинг,430 000 ₽,2.4 л / 190 л.с. / Бензин,автомат,седан,передний,красный,2006,237 321 км
Honda Civic VIII,400 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,золотистый,2007,226 600 км
Honda Accord VIII,590 000 ₽,2.0 л / 156 л.с. / Бензин,автомат,седан,передний,красный,2008,219 000 км
Honda CR-V I,450 000 ₽,2.0 л / 145 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,1997,400 000 км
Honda Accord V,160 000 ₽,2.0 л / 115 л.с. / Бензин,механика,седан,передний,чёрный,1994,416 000 км
Honda Logo,145 000 ₽,1.3 л / 91 л.с. / Бензин,вариатор,хэтчбек 3 дв.,передний,серебристый,1999,270 000 км
Honda Stream I,320 000 ₽,1.7 л / 130 л.с. / Бензин,автомат,компактвэн,передний,серый,2002,250 000 км
Honda Civic VIII,450 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,серый,2007,252 000 км
Honda Avancier I,355 000 ₽,2.3 л / 150 л.с. / Бензин,автомат,универсал 5 дв.,полный,чёрный,1999,300 000 км
Honda CR-V I,265 000 ₽,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,синий,1998,285 000 км
Honda Accord VII,400 000 ₽,2.4 л / 200 л.с. / Бензин,автомат,седан,передний,красный,2004,140 000 км
